id|name|parent_id|sort|normative|form_30|sert|actual|comment|p_group|data_end
131|Должности специалистов с высшим профессиональным (немедицинским) образованием |2|160|1|||t|""|t|
141|Судебный эксперт (эксперт-биохимик, эксперт-генетик, эксперт-химик)|131|170|1|||t|""|t|
143|Должности специалистов со средним профессиональным (медицинским) образованием (средний медицинский персонал) |2|176|1|||t|""|t|
144|Заведующий здравпунктом - фельдшер (медицинская сестра)|143|177|1|||t|""|t|
145|Заведующий фельдшерско-акушерским пунктом - фельдшер (акушер, медицинская сестра)|143|180|1|||t|""|t|
146|Заведующий кабинетом медицинской профилактики - фельдшер (медицинская сестра)|143|184|1|||t|""|t|
147|Заведующий производством учреждений (отделов, отделений, лабораторий) зубопротезирования|143|187|1|||t|""|t|
149|Старшая медицинская сестра (акушер, фельдшер, операционная медицинская сестра, зубной техник)|143|193|1|||t|""|t|
169|Медицинская сестра (фельдшер) по приему вызовов скорой медицинской помощи и передаче их выездным бригадам скорой медицинской помощи|143|218|1|||t|""|t|
177|Медицинский лабораторный техник (фельдшер-лаборант)|143|228|1|||t|""|t|
200|Должности иных медицинских работников (младший медицинский персонал) |2|254|1|||t|""|t|
205|Должности прочего общеучрежденческого персонала медицинских организаций|1|259||||t|""|t|
214|Должности работников фармацевтических организаций|1|268||||t|""|t|
215|Должности фармацевтических работников |214|269|1|||t|""|t|
216|Должности руководителей фармацевтических организаций|215|270|1|||t|""|t|
217|Директор (заведующий, начальник) аптечной организации|216|271|1|||t|""|t|
218|Заместитель директора (заведующего, начальника) аптечной организации |216|275|1|||t|""|t|
222|Заведующий (начальник) структурного подразделения (отдела) аптечной организации|216|282|1|||t|""|t|
223|Должности специалистов с высшим профессиональным (фармацевтическим) образованием (провизоры)|215|287|1|||t|""|t|
229|Должности специалистов со средним профессиональным (фармацевтическим) образованием (средний фармацевтический персонал)|215|293|1|||t|""|t|
233|Должности иных фармацевтических работников (младший фармацевтический персонал) |215|297|1|||t|""|t|
236|Должности прочего общеучрежденческого персонала фармацевтических организаций|214|300||||t|""|t|
238|Должности работников образовательных организаций и НИИ||302||||t|""|t|
239|Должности руководителей образовательных организаций и НИИ|238|303||||t|""|t|
240|Руководитель (ректор, директор, заведующий, начальник) образовательной организации|239|304||||t|""|t|
242|Заместитель руководителя (директора, заведующего, начальника) образовательной организации|239|311|2|||t|""|t|
480|Руководитель (директор, заведующий, начальник) научной организации|239|316||||t|""|t|
485|Заместитель руководителя (директора, заведующего, начальника) научной организации|239|321||||t|""|t|
243|Руководитель (директор, заведующий, начальник, управляющий) структурного подразделения|239|326|2|||t|""|t|
244|Руководитель (директор, заведующий, начальник, управляющий) обособленного структурного подразделения|239|332||||t|""|t|
245|Заместитель руководителя (директора, заведующего, начальника, управляющего) структурного подразделения|239|338|2|||t|""|t|
246|Заведующий (начальник) техническим архивом, чертежно-копировальным бюро; лабораторией (компьютерного и фото-, кинооборудования, оргтехники, средств связи)|239|344|4|||t|""|t|
247|Заведующий (начальник) отделом научно-технической информации|239|351|4|||t|""|t|
248|Начальник (руководитель) бригады (группы)|239|354|4|||t|""|t|
249|Заведующий (начальник) научно-исследовательским (конструкторским) отделом (лабораторией, отделением, сектором)|239|359|4|||t|""|t|
250|Заведующий (начальник) научным центром|239|376||||t|""|t|
251|Начальник (заведующий) отдела (управления) аспирантуры|239|379|3|||t|""|t|
259|Руководитель (заведующий) учебной (учебно-производственной, производственной) практики|239|392|3|||t|""|t|
260|Заведующий (директор, начальник, руководитель) питомника, учебного вивария, лесхоза, опытного поля, ботанического сада (дендрария)|239|399|3|||t|""|t|
262|Директор (начальник, руководитель) студенческого дворца культуры|239|421|3|||t|""|t|
263|Директор (начальник, заведующий) студенческого общежития|239|425|3|||t|""|t|
264|Директор (руководитель, заведующий) издательства учебной литературы и учебных пособий|239|429|3|||t|""|t|
265|Должности работников образовательных организаций|238|433||||t|""|t|
266|Должности педагогических работников, отнесенных к профессорско-преподавательскому составу|265|434|2|||t|""|t|
280|Должности иных педагогических работников образовательных организаций|265|449|2|||t|""|t|
309|Должности научных работников|238|478||||t|""|t|
317|Должности учебного-вспомогательного персонала образовательных организаций|238|486||||t|""|t|
323|Должности административно-хозяйственного персонала образовательных и научно-исследовательских организаций|238|492||||t|""|t|
12|Врачи-специалисты|10|37|1|1||t|""|t|
159|Медицинская сестра|143|208|1|163||t|""|t|
183|Помощник врача|143|236|1|198||t|""|t|
100000|Добавленные должности||||||||t|
100003|Начальник отдела АСУ|100000||||f|t|""|f|
100007|Начальник ОТОКС|100000||||f|t|""|f|
100008|Начальник отдела кадров|100000||||f|t|""|f|
100001|Заведующий больничной аптекой|100000||||f|t|""|f|
100004|Оператор ЭВМ|100000||||f|t|""|f|
100006|Заведующий ОМО|100000||||f|t|""|f|
100002|Заведующий организационно-методическим отделом|100000||||f|t|""|f|
100005|Ведущий инженер-программист|100000||||f|t|""|f|
1|Должности работников медицинских организаций||1||||t|""|t|
2|Должности медицинских работников|1|2|1|||t|""|t|
3|Должности руководителей медицинских организаций|2|3|1|||t|""|t|
4|Главный врач (начальник) медицинской организации |3|4|1|||t|""|t|
5|Директор больницы (дома) сестринского ухода, хосписа|3|7|1|||t|""|t|
6|Заместитель руководителя (начальника) медицинской организации|3|10|1|||t|""|t|
7|Заведующий (начальник) структурного подразделения (отдела, отделения, лаборатории, кабинета, отряда и другое) медицинской организации - врач-специалист|3|13|1|||t|""|t|
10|Должности специалистов с высшим профессиональным (медицинским) образованием (врачи) |2|35|1|||t|""|t|
128|Старший врач станции (отделения) скорой медицинской помощи|12|153|1|||t|""|t|
129|Старший врач станции (отделения) скорой медицинской помощи горноспасательных частей|12|156|1|||t|""|t|
8|Заведующий (главный врач, начальник) структурного подразделения, осуществляющего медицинскую деятельность, иной организации|3|27|1|||t|""|f|
9|Главная медицинская сестра (главная акушерка, главный фельдшер)|3|31|1|||t|""|f|
403|Начальник бригады|248|355||||t|""|f|
320|Лаборант|317|489||||t|""|f|
334|Главный врач медицинской организации |4|5||4||t|""|f|
335|Начальник медицинской организации |4|6||4||t|""|f|
427|Директор больницы (дома) сестринского ухода|5|8||4||t|""|f|
428|Директор хосписа|5|9||4||t|""|f|
44|Врач-методист|12|69|1|30||t|""|f|
336|Заместитель руководителя медицинской организации|6|11||4||t|""|f|
337|Заместитель начальника медицинской организации|6|12||4||t|""|f|
429|Заведующий отделом медицинской организации|7|14||4||t|""|f|
430|Заведующий отделением медицинской организации|7|15||4||t|""|f|
208|Бухгалтер|205|262||217||t|""|f|
431|Заведующий лабораторией медицинской организации|7|16||4||t|""|f|
432|Заведующий кабинетом медицинской организации|7|17||4||t|""|f|
433|Заведующий отрядом медицинской организации|7|18||4||t|""|f|
434|Начальник отдела медицинской организации|7|19||4||t|""|f|
435|Начальник отделения медицинской организации|7|20||4||t|""|f|
436|Начальник лаборатории медицинской организации|7|21||4||t|""|f|
437|Начальник кабинета медицинской организации|7|22||4||t|""|f|
438|Начальник отряда медицинской организации|7|23||4||t|""|f|
513|Руководитель бюро медико-социальной экспертизы|7|24||||t|""|f|
514|Руководитель экспертного состава медико-социальной экспертизы|7|25||||t|""|f|
515|Руководитель Главного бюро медико-социальной экспертизы|7|26||||t|""|f|
340|Заведующий структурным подразделением, осуществляющим медицинскую деятельность, иной организации|4|28||4||t|""|f|
341|Главный врач структурного подразделения, осуществляющего медицинскую деятельность, иной организации|4|29||4||t|""|f|
342|Начальник структурного подразделения, осуществляющего медицинскую деятельность, иной организации|4|30||4||t|""|f|
