Занимаемая должность;Тип должности
Авербандщик;не медицинская должность
Авиационный механик по криогенным системам;не медицинская должность
Авиационный механик по планеру и двигателям;не медицинская должность
Авиационный механик по приборам и электрооборудованию;не медицинская должность
Авиационный механик по радиооборудованию;не медицинская должность
Авиационный техник по горюче-смазочным материалам;не медицинская должность
Авиационный техник по парашютным и аварийно-спасательным средствам;не медицинская должность
Авиационный техник по планеру и двигателям;не медицинская должность
Авиационный техник по приборам и электрооборудованию;не медицинская должность
Авиационный техник по радиооборудованию;не медицинская должность
Автоклавщик;не медицинская должность
Автоклавщик литья под давлением;не медицинская должность
Автоклавщик на запарке брикетов;не медицинская должность
Автоклавщик-сушильщик аккумуляторных пластин в производстве свинцовых аккумуляторов;не медицинская должность
Автоматчик вязальных автоматов;не медицинская должность
Автоматчик игольно-платинных изделий;не медицинская должность
Автоматчик картонажного производства;не медицинская должность
Автоматчик клеильных полуавтоматов;не медицинская должность
Автоматчик на узловязальных и навивочных автоматах и станках;не медицинская должность
Автоматчик по изготовлению деталей клавишных инструментов;не медицинская должность
Автоматчик по обновлению гильз и сборке выстрелов;не медицинская должность
Автоматчик ремизных автоматов;не медицинская должность
Автоматчик холодновысадочных автоматов;не медицинская должность
Автоматчик элементного производства;не медицинская должность
Автомеханик;не медицинская должность
Автор статей;не медицинская должность
Агент;не медицинская должность
Агент коммерческий;не медицинская должность
Агент коммерческий I категории;не медицинская должность
Агент по бронированию;не медицинская должность
Агент по закупкам;не медицинская должность
Агент по приему заказов на экскурсии;не медицинская должность
Агент по продаже недвижимости;не медицинская должность
Агент по продаже недвижимости I категории;не медицинская должность
Агент по снабжению;не медицинская должность
Агент по туризму (выездной, въездной, внутренний);не медицинская должность
Агент рекламный;не медицинская должность
Агент страховой;не медицинская должность
Агент страховой I категории;не медицинская должность
Агент торговый;не медицинская должность
Агент торговый I категории;не медицинская должность
Агломератчик;не медицинская должность
Административный директор;не медицинская должность
Администратор;не медицинская должность
Администратор I категории;не медицинская должность
Администратор баз данных;не медицинская должность
Администратор офиса;не медицинская должность
Аквадировщик;не медицинская должность
Акклиматизатор;не медицинская должность
Аккомпаниатор;не медицинская должность
Аккумуляторщик;не медицинская должность
акушер;медицинская должность
Акушерка;медицинская должность
Алундировщик;не медицинская должность
Алюминировщик;не медицинская должность
Алюминировщик электротехнических изделий;не медицинская должность
Аналитик;не медицинская должность
Аналитик I категории;не медицинская должность
Аналитик II категории;не медицинская должность
Ангобировщик;не медицинская должность
Ангобировщик санитарно-строительных изделий;не медицинская должность
Анодчик в производстве алюминия;не медицинская должность
Антенщик-мачтовик;не медицинская должность
Антикоррозийщик;не медицинская должность
Аппаратчик;не медицинская должность
Аппаратчик абсолютирования;не медицинская должность
Аппаратчик абсорбции;не медицинская должность
Аппаратчик адсорбции;не медицинская должность
Аппаратчик азотирования;не медицинская должность
Аппаратчик активации;не медицинская должность
Аппаратчик аммонолиза;не медицинская должность
Аппаратчик аппретирования;не медицинская должность
Аппаратчик асептического консервирования;не медицинская должность
Аппаратчик ацеталирования;не медицинская должность
Аппаратчик ацилирования;не медицинская должность
Аппаратчик балансовых установок;не медицинская должность
Аппаратчик бельевых сушильных установок;не медицинская должность
Аппаратчик бисульфитирования ванилина;не медицинская должность
Аппаратчик бучения;не медицинская должность
Аппаратчик в производстве драгоценных металлов;не медицинская должность
Аппаратчик в производстве металлических порошков;не медицинская должность
Аппаратчик в производстве солей;не медицинская должность
Аппаратчик в производстве твердых сплавов и тугоплавких металлов;не медицинская должность
Аппаратчик в производстве титана и редких металлов;не медицинская должность
Аппаратчик вакуумирования;не медицинская должность
Аппаратчик вакуум-приемников;не медицинская должность
Аппаратчик вакуум-сушильной установки;не медицинская должность
Аппаратчик вакуум-термической печи;не медицинская должность
Аппаратчик валки изделий;не медицинская должность
Аппаратчик варки утфеля;не медицинская должность
Аппаратчик водно-химической обработки;не медицинская должность
Аппаратчик возгонки;не медицинская должность
Аппаратчик воздухоразделения;не медицинская должность
Аппаратчик восстановления;не медицинская должность
Аппаратчик восстановления молока;не медицинская должность
Аппаратчик восстановления полупроводниковых материалов;не медицинская должность
Аппаратчик вспенивания;не медицинская должность
Аппаратчик вулканизации;не медицинская должность
Аппаратчик выделения ацетофенона;не медицинская должность
Аппаратчик выделения карбинола;не медицинская должность
Аппаратчик выделения псевдобутилена;не медицинская должность
Аппаратчик выделения серы;не медицинская должность
Аппаратчик выделения фтористого бора;не медицинская должность
