id;oid;oldOid;nameFull;nameShort;parentId;medicalSubjectId;medicalSubjectName;inn;kpp;ogrn;regionId;regionName;organizationType;moDeptId;moDeptName;founder;deleteDate;deleteReason;createDate;modifyDate;moLevel;moAgencyKindId;moAgencyKind;profileAgencyKindId;profileAgencyKind;postIndex;cadastralNumber;latitude;longtitude;fiasVersion;aoidArea;aoidStreet;houseid;addrRegionId;addrRegionName;territoryCode;isFederalCity;areaName;prefixArea;streetName;prefixStreet;house
22481;1.2.643.5.1.13.13.12.2.48.4484;1.2.643.5.1.13.3.25.48.6;Государственное учреждение здравоохранения "Липецкий областной перинатальный центр";ГУЗ "ЛОПЦ";;2;Медицинская организация;4825053843;482501001;1074823017609;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;09.05.2021;III уровень;43;Центр (Лечебно-профилактические медицинские организации);72;перинатальный;398055;48:20:0029309:262;52.607114;39.515407;465;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;06b9358c-a608-43ce-bd10-2e94dc6210cd;e989ba9b-abbc-408f-845c-7287d623da72;48;Липецкая область;42;false;Липецк;г;Московская;ул;6г
22484;1.2.643.5.1.13.13.12.2.48.4486;1.2.643.5.1.13.3.25.48.8;Государственное учреждение здравоохранения "Липецкий областной Центр по профилактике и борьбе со СПИД и инфекционными заболеваниями";ГУЗ "ЛОЦПБС и ИЗ";;2;Медицинская организация;4826022414;482601001;1024840844071;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;10.03.2021;II уровень;43;Центр (Лечебно-профилактические медицинские организации);74;профилактики и борьбы со СПИД;398043;;52.621407;39.558472;355;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;a8ac2ad1-be39-4b40-95fa-7d6772a6bd8b;8b1f5812-dd9a-4e0c-87e9-582fe4b732a3;48;Липецкая область;42;false;Липецк;г;Гагарина;ул;135
22485;1.2.643.5.1.13.13.12.2.48.4487;1.2.643.5.1.13.3.25.48.9;Государственное учреждение здравоохранения особого типа "Центр общественного здоровья и медицинской профилактики";ГУЗОТ "ЦОЗиМП";;2;Медицинская организация;4826036600;482601001;1024840827440;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;20.03.2021;II уровень;93;Центр (Медицинские организации особого типа);94;общественного здоровья и медицинской профилактики;398042;48:20:000000:0000;52.605091;39.536778;408;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;feb84d4f-35f2-482e-b9e6-3dacd8758cb2;;48;Липецкая область;42;false;Липецк;г;9-й;мкр;17
22508;1.2.643.5.1.13.13.12.2.48.4488;1.2.643.5.1.13.3.25.48.10;Государственное учреждение здравоохранения "Областной врачебно-физкультурный диспансер";ГУЗ "ОВФД";;2;Медицинская организация;4825006018;482401001;1024840832114;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;25.02.2021;II уровень;23;Диспансер;24;врачебно-физкультурный;398059;;52.597614;39.581424;548;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;8d62f58a-81d8-4e4b-8ac5-ce5051b694b4;889f2bb2-1884-4cb9-b6cb-713ba1ff5bfb;48;Липецкая область;42;false;Липецк;г;М.И. Неделина;ул;9
22614;1.2.643.5.1.13.13.12.2.48.4491;1.2.643.5.1.13.3.25.48.13;Государственное учреждение здравоохранения "Липецкая областная психоневрологическая больница";ГУЗ "ЛОПНБ";;2;Медицинская организация;4802002585;480201001;1024800522570;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;17.05.2021;II уровень;4;Специализированная больница;15;психоневрологическая, в том числе детская;399083;48:02:0410106:8;52.652721;39.817147;576;ff127c5c-2336-4cbb-b1f2-439d9b8d65b4;636fd86b-ed7f-4953-9830-7d01f411bca7;1386b010-c716-4f30-bb97-e43a91b2626d;48;Липецкая область;42;false;Плеханово;с;Плеханова;ул;173а
22761;1.2.643.5.1.13.13.12.2.48.4492;1.2.643.5.1.13.3.25.48.14;Государственное учреждение здравоохранения "Елецкая городская больница № 1 им. Н.А. Семашко";ГУЗ "Елецкая горбольница № 1 им. Н.А. Семашко";;2;Медицинская организация;4821004010;482101001;1024800788693;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;11.03.2021;III уровень;1;Больница (в том числе детская);;;399774;;52.626688;38.483225;331;5aa1fba5-eab6-4a44-b91d-221f70ff73e1;05e854a4-3a25-4523-aedb-779213067daf;a62b8305-550f-477b-a301-13de4f0c1eec;48;Липецкая область;42;false;Елец;г;Коммунаров;ул;40
22766;1.2.643.5.1.13.13.12.2.48.4493;1.2.643.5.1.13.3.25.48.15;ГАУЗ "Липецкая городская стоматологическая поликлиника №1";ГАУЗ "Липецкая ГСП №1";;2;Медицинская организация;4824006872;482401001;1024840831256;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;17.05.2021;I уровень;34;Поликлиника;38;стоматологическая, в том числе детская;398046;48:20:0044401:638;52.593270;39.540299;407;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;26d5e249-3d44-4b40-8046-ea7c3e00efe1;9d662970-feb0-4436-b8f2-8e0aeefb7167;48;Липецкая область;42;false;Липецк;г;П.И.Смородина;ул;2
23121;1.2.643.5.1.13.13.12.2.48.4495;1.2.643.5.1.13.3.25.48.17;Государственное учреждение здравоохранения Липецкий областной наркологический диспансер;ГУЗ "ЛОНД";;2;Медицинская организация;4824003085;482401001;1024840855380;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;26.05.2021;I уровень;23;Диспансер;27;наркологический;398006;48:20:0040601:140;52.541143;39.591512;407;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;9b5a1d4b-7cbb-4e6c-baa7-1cf3b8509d4e;943ba3ec-2644-49c3-9910-82a400999ea5;48;Липецкая область;42;false;Липецк;г;Ленинградская;ул;18
23214;1.2.643.5.1.13.13.12.2.48.4498;1.2.643.5.1.13.3.25.48.20;Государственное учреждение здравоохранения «Лебедянская центральная районная больница»;ГУЗ «Лебедянская ЦРБ»;;2;Медицинская организация;4811003070;481101001;1034800060415;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;09.05.2021;II уровень;1;Больница (в том числе детская);;;399610;48:11:0470166:53;53.008831;39.134315;361;8391e90c-d9a9-4cf7-a45a-3551c5ebde53;c36aa259-1d68-49b4-8710-604f4e915c5a;d5570a8d-ba5d-4461-87da-ad9d0e4420ae;48;Липецкая область;42;false;Лебедянь;г;Почтовая;ул;13
25213;1.2.643.5.1.13.13.12.2.48.4503;1.2.643.5.1.13.3.25.48.25;Государственное учреждение здравоохранения "Областная стоматологическая поликлиника-Стоматологический центр";ГУЗ "Осп-Сц";;2;Медицинская организация;4825006040;482601001;1024840842938;48;Липецкая область;1;2300229;Органы исполнительной власти субъектов Российской Федерации, осуществляющие функции в области здравоохранения;;;;16.10.2016;17.05.2021;II уровень;34;Поликлиника;38;стоматологическая, в том числе детская;398043;48:20:0012901:3414;52.609898;39.562308;407;f1ed2bb3-ed0b-4547-9cdf-2d08cda909df;85fe5859-4834-4a51-bece-9fce570b5811;;48;Липецкая область;42;false;Липецк;г;Циолковского;ул;22
