OID медицинской организации;Полное наименование медицинской организации;Наименование субъекта системы здравоохранения;Наименование региона РФ;OID структурного подразделения;Наименование структурного подразделения
1.2.643.5.1.13.13.12.2.48.4499;Частное учреждение здравоохранения «Больница «РЖД - Медицина» города Елец»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4499.0.360473;Стационар
1.2.643.5.1.13.13.12.2.48.4499;Частное учреждение здравоохранения «Больница «РЖД - Медицина» города Елец»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4499.0.360478;Поликлиника №1
1.2.643.5.1.13.13.12.2.48.4499;Частное учреждение здравоохранения «Больница «РЖД - Медицина» города Елец»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4499.0.360670;Дневной стационар №1
1.2.643.5.1.13.13.12.2.48.4499;Частное учреждение здравоохранения «Больница «РЖД - Медицина» города Елец»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4499.0.360692;Дневной стационар №2
1.2.643.5.1.13.13.12.2.48.4499;Частное учреждение здравоохранения «Больница «РЖД - Медицина» города Елец»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4499.0.360997;Поликлиника №2
1.2.643.5.1.13.13.12.2.48.17238;филиал «Центр медицинской и социальной реабилитации» федерального казенного учреждения здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.17238.0.392240;филиал "ЦМиСР" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.17239;филиал «Центр государственного санитарно-эпидемиологического надзора» федерального казенного учреждения здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.17239.0.392229;филиал "ЦГСЭН" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.11887;филиал «Туберкулезная больница» федерального казенного учреждения здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11887.0.359933;филиал "ТБ" ФКУЗ МСЧ-48
1.2.643.5.1.13.13.12.2.48.17235;филиал «Медицинская часть № 7» федерального казенного учреждения здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.17235.0.392255;филиал "МЧ-7" ФКУЗ МСЧ-48 ФСИН России
1.2.643.5.1.13.13.12.2.48.11883;филиал «Медицинская часть № 6» федерального казенного учреждения здравоохранения «Медико-санитарная часть № 48 Федеральной службы исполнения наказаний»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11883.0.360069;филиал "МЧ-6" ФКУЗ МСЧ-48 ФСИН России
